outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
False,,34.3366336633663,35,5.40952081061261,20.2,79.7000000000001,0.1,0.1,1,0,6260,cluster,0.0192,,20.9912087912088,19,8.34160298126599,,4.3010989010989,3,4.24464742463368,False,,29.3764434180138,28,12.8889052780903,43.3,56.6,0.1
False,,33.8389423076923,34.5,5.94611402162875,41.6,58.3,0.1,0.1,2,0,6260,cluster,0.0192,28,16.5749674054759,15,7.43204234523476,4,3.8135593220339,3,3.73509013050378,True,33,26.6559888579387,24,12.6245344792914,71.8000000000001,28.2,0
True,41,32.5216606498195,33,6.19337017021806,55.4,44.6,0,0.1,3,0,6260,cluster,0.0192,20,13.2578125,12,6.54188473829442,3,3.52901785714286,2,3.5555611521705,True,25,22.7713936430318,20,12.112060842902,81.8000000000001,18.2,0
True,37,31.3925925925926,32,6.45198367004006,67.5,32.4,0.1,0.1,4,0,6260,cluster,0.0192,15,11.0790842872008,10,5.43067075060056,3,4.04370447450572,3,3.73555691221569,True,20,20.3959955506118,17,12.0026427190118,89.9000000000001,10.1,0
True,34,30.4280155642023,30,6.61178004486125,77.1000000000001,22.8,0.1,0.1,5,0,6260,cluster,0.0192,11,9.1417004048583,8,3.97438177191714,3,4.09716599190283,3,3.48401091407156,True,16,17.6077812828602,15,11.0882466557877,95.1000000000001,4.9,0
True,31,29.6007109004739,30,6.91728718891028,84.4000000000001,15.6,0,0.1,6,0,6260,cluster,0.0192,9,8.16064257028113,8,3.36803679853116,4,4.37751004016064,4,3.55621186040482,True,13,15.4635897435897,13,10.2229734966761,97.5000000000001,2.5,0
True,29,28.0622222222222,27,6.84450432874236,90.0000000000001,9.90000000000001,0.1,0.1,7,0,6260,cluster,0.0192,8,7.197,7,2.61461106094195,4,4.618,4,3.55275611321689,True,11,13.2505050505051,11,9.05024553199351,99.0000000000001,1,0
True,27,27.0187845303867,26,6.71377578289334,90.5000000000001,9.50000000000001,0,0.1,8,0,6260,cluster,0.0192,7,6.58458458458459,6,2.22205763713396,4,4.94894894894895,4,3.48547628615341,True,9,12.021190716448,9,9.48250047893229,99.1000000000001,0.9,0
True,26,25.7765843179377,25,6.92971694569909,93.1000000000001,6.90000000000001,0,0.1,9,0,6260,cluster,0.0192,6,6.129,6,1.93244896439725,5,5.479,5,3.9703348725265,True,7,10.5150300601202,8,7.96166129965342,99.8000000000001,0.2,0
True,25,24.964509394572,24,6.67222402219174,95.8000000000001,4.2,0,0.1,10,0,6260,cluster,0.0192,6,5.81,6,1.82918014421762,5,5.845,5,3.99787130858411,True,6,9.24373119358075,7,6.82477148609917,99.7000000000001,0.3,0
True,23,24.0606995884774,23,6.43641091904537,97.2000000000001,2.8,0,0.1,11,0,6260,cluster,0.0192,5,5.463,5,1.6120269848858,5,5.839,5,3.7864335462279,True,6,7.97394789579158,6,5.85301959008634,99.8000000000001,0.2,0
