outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
False,,35.8,35.5,2.99332590941915,1,98.8000000000001,0.2,0.1,1,0,6260,cluster,0.01129254633081,,22.2098214285714,21,8.36370197235638,,1.89285714285714,1,2.30433265384836,False,,35.1172413793103,35,15.2304157790851,14.5,85.4000000000001,0.1
False,,36.8461538461539,38,4.00665127480167,2.6,97.3000000000001,0.1,0.1,2,0,6260,cluster,0.01129254633081,,17.7534791252485,16,8.64191912862574,,1.79125248508946,1,2.18756721495571,False,,32.7558528428094,32,15.4940032911134,29.9,70.0000000000001,0.1
False,,35.3947368421053,37,5.59858757415518,3.8,96.0000000000001,0.2,0.1,3,0,6260,cluster,0.01129254633081,,14.349582172702,12,7.74356187563573,,1.82729805013928,1,2.06731594257645,False,,29.9856801909308,29,16.1162182859517,41.9,58,0.1
False,,36.4117647058824,38,5.09969807098665,6.8,93.1000000000001,0.1,0.1,4,0,6260,cluster,0.01129254633081,,11.8480565371025,10,6.21554335066819,,1.82921083627797,1,1.98410514560361,False,,28.4477611940299,28,15.8538413651873,53.6,46.3,0.1
False,,35.6907216494845,37,5.45338412807077,9.70000000000001,90.2000000000001,0.1,0.1,5,0,6260,cluster,0.01129254633081,,10.0360169491525,9,5.27694612503221,,2.05402542372881,2,2.00904857304276,False,,27.2625189681335,25,15.6094979169022,65.9000000000001,34.1,0
False,,35.0583333333333,37,5.74208996988224,12,87.9000000000001,0.1,0.1,6,0,6260,cluster,0.01129254633081,31,8.96428571428571,8,4.71447510442086,2,2.25918367346939,2,2.09668527193028,False,,26.4993197278912,23,16.2177256539741,73.5000000000001,26.4,0.1
False,,34.2530120481928,36,6.27260898332474,16.6,83.3000000000001,0.1,0.1,7,0,6260,cluster,0.01129254633081,9,7.63700707785642,7,3.41303715031557,2,2.50252780586451,2,2.18905349124876,True,55,24.4294710327456,21,16.3544858379889,79.4000000000001,20.6,0
False,,33.9313725490196,35,6.14332062586576,20.4,79.5000000000001,0.1,0.1,8,0,6260,cluster,0.01129254633081,7,6.93893893893894,6,2.80448576671214,2,2.77677677677678,2,2.22624738037349,True,52,22.7544910179641,17,16.1339702119726,83.5000000000001,16.5,0
False,,32.9703389830508,34,6.6812387124356,23.6,76.3000000000001,0.1,0.1,9,0,6260,cluster,0.01129254633081,6,6.313,6,2.2845198620279,3,3.042,3,2.2751342817513,True,48,22.5073280721533,18,16.0328616300733,88.7000000000001,11.3,0
False,,32.6762295081967,33,6.66327779919862,24.4,75.5000000000001,0.1,0.1,10,0,6260,cluster,0.01129254633081,6,5.926,6,2.02793589642276,3,3.227,3,2.47294783608551,True,49,19.9089900110988,15,15.5180084845384,90.1000000000001,9.90000000000001,0
False,,32.2323232323232,33,7.04745093180943,29.7,70.2000000000001,0.1,0.1,11,0,6260,cluster,0.01129254633081,5,5.584,5,1.84199457111035,3,3.417,3,2.47489615943781,True,41,18.7572192513369,14,14.9945404955889,93.5000000000001,6.5,0
False,,31.9921465968586,34,7.31293346856664,38.2,61.8000000000001,0,0.1,12,0,6260,cluster,0.01129254633081,5,5.322,5,1.7053785503518,3,3.614,3,2.49098454431175,True,25,17.7324380165289,12,14.4496740449911,96.8000000000001,3.2,0
False,,30.926582278481,32,7.55718635037998,39.5,60.4,0.1,0.1,13,0,6260,cluster,0.01129254633081,5,5.095,5,1.55369720344731,4,3.907,4,2.67401402389741,True,19,15.659114315139,10,13.99956475851,97.1000000000001,2.9,0
False,,30.0022883295194,31,7.80321439834985,43.7,56.2,0.1,0.1,14,0,6260,cluster,0.01129254633081,5,5.016,5,1.46346984936486,4,4.225,4,2.77459456497702,True,15,14.525993883792,9,13.5608489038418,98.1000000000001,1.9,0
False,,29.4608695652174,31,8.12059856063497,46,53.9,0.1,0.1,15,0,6260,cluster,0.01129254633081,5,4.729,5,1.3658546774822,4,4.247,4,2.86914464605743,True,7,13.5542046605876,8,12.9497450441258,98.7000000000001,1.3,0
False,,29.1884615384615,29,8.09481443333071,52,47.9,0.1,0.1,16,0,6260,cluster,0.01129254633081,5,4.618,4.5,1.25621494975979,5,4.439,4,3.05945730481731,True,6,12.1582661290323,7,11.7368729099096,99.2000000000001,0.8,0
False,,28.7629757785467,29,8.21157589552667,57.8,42.1,0.1,0.1,17,0,6260,cluster,0.01129254633081,4,4.465,4,1.18354340858289,4,4.583,4,2.93855593787153,True,6,11.2613065326633,7,11.1000049935028,99.5000000000001,0.5,0
False,,28.1675041876047,29,8.23881909026265,59.7,40.3,0,0.1,18,0,6260,cluster,0.01129254633081,4,4.334,4,1.16294625843158,4,4.83,4,3.07784015179476,True,6,10.2072434607646,6,10.0999685163504,99.4000000000001,0.6,0
False,,27.1803797468354,27,8.68392198960902,63.2000000000001,36.8,0,0.1,19,0,6260,cluster,0.01129254633081,4,4.282,4,1.14998956517005,4,4.896,5,3.09502568648469,True,6,8.95778894472362,6,9.23790678370378,99.5000000000001,0.5,0
False,,26.7913561847988,26,8.65903126526658,67.1000000000001,32.9,0,0.1,20,0,6260,cluster,0.01129254633081,4,4.154,4,1.10827974807807,5,5.194,5,3.36130391366208,True,5,8.59018036072144,5,9.1477180355568,99.8000000000001,0.2,0
False,,25.5549215406562,25,8.63634752676002,70.1000000000001,29.9,0,0.1,21,0,6260,cluster,0.01129254633081,4,4.063,4,1.07286112801238,5,5.259,5,3.30301665148694,True,5,8.164,5,8.80472055206751,100,0,0
False,,25.3320209973753,25,8.5877437147248,76.2000000000001,23.8,0,0.1,22,0,6260,cluster,0.01129254633081,4,3.913,4,0.987639104126604,5,5.335,5,3.36166253511562,True,5,6.78,5,6.39715561792896,100,0,0
True,41,24.1183355006502,23,8.52550914621137,76.9000000000001,23.1,0,0.1,23,0,6260,cluster,0.01129254633081,4,3.943,4,0.991842225356432,6,5.653,5,3.5601391826725,True,5,6.21321321321321,4,5.52939054013468,99.9000000000001,0.1,0
True,37,23.7622461170848,22,8.90100117717961,83.7000000000001,16.3,0,0.1,24,0,6260,cluster,0.01129254633081,4,3.907,4,1.00714993918483,6,5.735,5,3.66125320074971,True,5,6.007,4,5.37949356352436,100,0,0
True,39,22.1696113074205,20,8.63864110309292,84.9000000000001,15.1,0,0.1,25,0,6260,cluster,0.01129254633081,4,3.723,4,0.937161138758965,6,5.655,5,3.51596003959089,True,5,5.649,4,5.80239597063144,100,0,0
True,34,22.5406643757159,21,8.86960435112787,87.3,12.6,0.1,0.1,26,0,6260,cluster,0.01129254633081,4,3.663,4,0.925975701625048,6,5.558,5,3.52230549498478,True,5,5.24824824824825,4,4.77653113505173,99.9000000000001,0.1,0
True,34,21.0770065075922,19,8.68685973392192,92.2000000000001,7.80000000000001,0,0.1,27,0,6260,cluster,0.01129254633081,4,3.67,4,0.911646861454588,7,6.229,6,3.85208501983017,True,5,4.693,4,3.24387900514184,100,0,0
True,30,20.42071197411,19,8.82381317169588,92.7000000000001,7.30000000000001,0,0.1,28,0,6260,cluster,0.01129254633081,4,3.629,4,0.854025175272954,7,6.194,6,3.6799951086924,True,5,4.726,4,3.76283456984226,100,0,0
True,27,19.4832285115304,17,8.60855162412254,95.4000000000001,4.6,0,0.1,29,0,6260,cluster,0.01129254633081,3,3.535,3,0.863003476238653,5,6.381,6,4.14558065896685,True,4,4.452,4,3.29510181936765,100,0,0
True,25,18.2426470588235,16,8.31969848666681,95.2000000000001,4.8,0,0.1,30,0,6260,cluster,0.01129254633081,3,3.507,3,0.83303721405469,4,6.351,6,3.91175139803132,True,5,4.452,4,3.61852124492865,100,0,0
True,21,17.801261829653,16,8.03589728004802,95.1000000000001,4.9,0,0.1,31,0,6260,cluster,0.01129254633081,3,3.447,3,0.838564845435343,5,6.417,6,4.07149984649392,True,4,4.18418418418418,4,2.82738469514222,99.9000000000001,0.1,0
True,21,16.588717948718,14,7.60688459411206,97.5000000000001,2.5,0,0.1,32,0,6260,cluster,0.01129254633081,3,3.446,3,0.853864157814345,5,6.507,6,4.00873433891546,True,4,4.01801801801802,4,2.14015324956118,99.9000000000001,0.1,0
True,20,15.9704081632653,14,7.58624842326727,98.0000000000001,2,0,0.1,33,0,6260,cluster,0.01129254633081,3,3.343,3,0.832677008209065,5,6.551,6,4.18131546286572,True,4,3.76776776776777,3,1.26954080516465,99.9000000000001,0.1,0
