outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,38,35.2421580928482,36,4.7713416077522,79.7000000000001,20.3,0,0.1,0,0.65,6260,distributed,0.0192,21,17.988,18,4.54948964170708,4,4.675,4,3.76395735895082,True,23,22.7277277277277,22,7.21859058209661,99.9000000000001,0.1,0
True,40,36.0014326647565,37,4.6374269381304,69.8000000000001,30.2,0,0.1,0,0.7,6260,distributed,0.0192,23,20.144,20,4.80450455302105,5,4.777,4,3.67222970414434,True,24,24.7027027027027,24,7.72763994514655,99.9000000000001,0.1,0
True,32,32.1439153439153,32,5.15704967880461,94.5000000000001,5.4,0.1,0.1,0,0.75,6260,distributed,0.0192,16,14.689,15,2.77133162937964,6,5.667,5,3.91664537582866,True,17,17.162,17,5.56899955108635,100,0,0
True,32,31.6502732240437,32,5.69824893357207,91.5000000000001,8.50000000000001,0,0.1,0,0.8,6260,distributed,0.0192,14,12.426,12,3.81399056107904,5,4.848,4,3.9147025429782,True,17,17.0830830830831,16,6.9283552312446,99.9000000000001,0.1,0
True,37,34.489646772229,35,5.30198432248375,82.1000000000001,17.8,0.1,0.1,0,0.85,6260,distributed,0.0192,19,16.681,16,4.75975198933726,4,4.493,4,3.81312876782308,True,23,21.9099099099099,22,7.319799953773,99.9000000000001,0.1,0
True,35,33.2359813084112,33,5.30719091788707,85.6000000000001,14.3,0.1,0.1,0,0.9,6260,distributed,0.0192,17,15.715,15,3.31055508940721,4,5.353,4,4.0222370641224,True,19,19.664,19,7.16541024645484,100,0,0
True,35,32.7174677608441,33,5.65902051292668,85.3000000000001,14.6,0.1,0.1,0,0.95,6260,distributed,0.0192,16,13.62,13,4.31040601335883,4,4.614,4,3.739118077836,True,19,19.331,18,8.18336355052126,100,0,0
True,29,29.0752797558494,29,5.6280460768368,98.3000000000001,1.7,0,0.1,0,1,6260,distributed,0.0192,12,10.979,11,2.87863839340755,5,5.603,5,4.00816554049356,True,12,13.7715430861723,13.5,5.12762097051663,99.8000000000001,0.2,0
True,34,32.8231981981982,33,5.15276123356078,88.8,11.2,0,0.1,0,1.05,6260,distributed,0.0192,16,14.543,14,3.62658944464355,5,4.951,4,3.77049055163914,True,17,18.95,18,7.31433523978769,100,0,0
True,31,31.6649323621228,31,5.69992863936596,96.1000000000001,3.9,0,0.1,0,1.1,6260,distributed,0.0192,15,12.772,12,3.7997389384009,6,5.111,4,4.03394087710765,True,15,16.493,15,6.20386581092789,100,0,0
